Halazepam,Midazolam
Asenapine,Loxapine
Mianserin,Mirtazapine
Asenapine,Bromocriptine
Asenapine,Pergolide
Desipramine,Nortriptyline
3-Methylfentanyl,Loperamide
Abacavir,Rilpivirine
Abatacept,Durvalumab
Acebutolol,Atenolol
Acebutolol,Esmolol
Acebutolol,Indacaterol
Acebutolol,Levobetaxolol
Acebutolol,Olodaterol
Acebutolol,Orciprenaline
Acebutolol,Penbutolol
Aceclofenac,Alclofenac
Aceclofenac,Balsalazide
Aceclofenac,Cholinemagnesiumtrisalicylate
Aceclofenac,Etoricoxib
Aceclofenac,Nimesulide
Aceclofenac,Parecoxib
Acepromazine,Thiothixene
Aceprometazine,Astemizole
Aceprometazine,Betahistine
Aceprometazine,Cyclizine
Aceprometazine,Dimetindene
Aceprometazine,Diphenhydramine
Aceprometazine,Doxylamine
Aceprometazine,Ketotifen
Aceprometazine,Tesmilifene
Acetophenazine,Prochlorperazine
Acetophenazine,Raclopride
Aciclovir,Cidofovir
Aciclovir,Famciclovir
Adapalene,Bexarotene
Ajmaline,Ethotoin
Ajmaline,Mephenytoin
Ajmaline,Phenytoin
Alcaftadine,Astemizole
Alcaftadine,Betahistine
Alcaftadine,Cyclizine
Alcaftadine,Dimetindene
Alcaftadine,Diphenhydramine
Alcaftadine,Doxylamine
Alcaftadine,Ketotifen
Alcaftadine,Tesmilifene
Alclofenac,Antipyrine
Alclofenac,Antrafenine
Alclofenac,Bromfenac
Alclofenac,Carprofen
Alclofenac,Diflunisal
Alclofenac,Flurbiprofen
Alclofenac,Ketorolac
Alclofenac,Lornoxicam
Alclofenac,Lumiracoxib
Alclofenac,Magnesiumsalicylate
Alclofenac,Meloxicam
Alclofenac,Nabumetone
Alclofenac,Naproxen
Alclofenac,Oxaprozin
Alclofenac,Rofecoxib
Alclofenac,Tiaprofenicacid
Alectinib,Crizotinib
Aleglitazar,Gemfibrozil
Aleglitazar,Lobeglitazone
Aleglitazar,Pioglitazone
Aleglitazar,Soybeanoil
Alfentanil,Dextropropoxyphene
Alfentanil,Dezocine
Alfentanil,Dimethylthiambutene
Alfentanil,Diphenoxylate
Alfentanil,Methylnaltrexone
Alfentanil,Oxymorphone
Alimemazine,Astemizole
Alimemazine,Betahistine
Alimemazine,Cyclizine
Alimemazine,Dimetindene
Alimemazine,Diphenhydramine
Alimemazine,Doxylamine
Alimemazine,Ketotifen
Alimemazine,Tesmilifene
Almotriptan,Naratriptan
Almotriptan,Sumatriptan
Alprazolam,Clorazepate
Alprazolam,Lorazepam
Alvimopan,Loperamide
Amdinocillin,Mezlocillin
Aminoglutethimide,Anastrozole
Aminoglutethimide,Letrozole
Aminoglutethimide,Testolactone
Amisulpride,Mesoridazine
Amoxicillin,Cefditoren
Antipyrine,Balsalazide
Antipyrine,Cholinemagnesiumtrisalicylate
Antipyrine,Etoricoxib
Antipyrine,Nimesulide
Antipyrine,Parecoxib
Antrafenine,Balsalazide
Antrafenine,Cholinemagnesiumtrisalicylate
Antrafenine,Etoricoxib
Antrafenine,Nimesulide
Antrafenine,Parecoxib
Armodafinil,Diethylpropion
Armodafinil,Lisdexamfetamine
Armodafinil,Modafinil
Armodafinil,Phenmetrazine
Armodafinil,Sertraline
Armodafinil,Sibutramine
Astemizole,Bromodiphenhydramine
Astemizole,Buclizine
Astemizole,Carbinoxamine
Astemizole,Cetirizine
Astemizole,Chloropyramine
Astemizole,Dimenhydrinate
Astemizole,Emedastine
Astemizole,Fexofenadine
Astemizole,Levocetirizine
Astemizole,Loratadine
Astemizole,Pheniramine
Atazanavir,Ritonavir
Atenolol,Betaxolol
Atenolol,Levobunolol
Atenolol,Nebivolol
Atenolol,Oxprenolol
Atenolol,Salbutamol
Atomoxetine,Chlorphenamine
Atomoxetine,Debrisoquin
Atomoxetine,Fluvoxamine
Atomoxetine,Reboxetine
Atomoxetine,Viloxazine
Atropine,Oxyphencyclimine
Atropine,Tiotropium
Atropine,Tridihexethyl
Azilsartanmedoxomil,Tasosartan
Balsalazide,Bromfenac
Balsalazide,Carprofen
Balsalazide,Diethylcarbamazine
Balsalazide,Diflunisal
Balsalazide,Flurbiprofen
Balsalazide,Ketorolac
Balsalazide,Lornoxicam
Balsalazide,Lumiracoxib
Balsalazide,Magnesiumsalicylate
Balsalazide,Meloxicam
Balsalazide,Nabumetone
Balsalazide,Naproxen
Balsalazide,Oxaprozin
Balsalazide,Sulfasalazine
Balsalazide,Tiaprofenicacid
Bazedoxifene,Estriol
Bazedoxifene,Ethynodioldiacetate
Bazedoxifene,Raloxifene
Beclomethasonedipropionate,Megestrolacetate
Beclomethasonedipropionate,Mifepristone
Benzathinebenzylpenicillin,Ceforanide
Benzatropine,Escitalopram
Benzonatate,Ethotoin
Benzonatate,Mephenytoin
Benzonatate,Phenytoin
Benzylpenicillin,Ceftolozane
Betahistine,Bromodiphenhydramine
Betahistine,Buclizine
Betahistine,Carbinoxamine
Betahistine,Cetirizine
Betahistine,Chloropyramine
Betahistine,Dimenhydrinate
Betahistine,Emedastine
Betahistine,Fexofenadine
Betahistine,Levocetirizine
Betahistine,Loratadine
Betahistine,Pheniramine
Betaxolol,Esmolol
Betaxolol,Indacaterol
Betaxolol,Levobetaxolol
Betaxolol,Olodaterol
Betaxolol,Orciprenaline
Betaxolol,Penbutolol
Bifonazole,Econazole
Biperiden,Cycrimine
Biperiden,Dicyclomine
Biperiden,Oxyphenonium
Biperiden,Propantheline
Biperiden,Vecuronium
Boldenone,Dienogest
Boldenone,Homosalate
Boldenone,Oxybenzone
Brimonidine,Oxymetazoline
Brimonidine,Xylometazoline
Bromfenac,Cholinemagnesiumtrisalicylate
Bromfenac,Etoricoxib
Bromfenac,Nimesulide
Bromfenac,Parecoxib
Bromodiphenhydramine,Cyclizine
Bromodiphenhydramine,Dimetindene
Bromodiphenhydramine,Diphenhydramine
Bromodiphenhydramine,Doxylamine
Bromodiphenhydramine,Ketotifen
Bromodiphenhydramine,Tesmilifene
Buclizine,Cyclizine
Buclizine,Dimetindene
Buclizine,Diphenhydramine
Buclizine,Doxylamine
Buclizine,Ketotifen
Buclizine,Tesmilifene
Bupivacaine,CarboprostTromethamine
Bupivacaine,Levobupivacaine
Bupivacaine,Mepivacaine
Bupivacaine,Proparacaine
Bupivacaine,Ropivacaine
Buspirone,LysergicAcidDiethylamide
Buspirone,Molindone
Buspirone,Prochlorperazine
Buspirone,Raclopride
Buspirone,Vilazodone
Butorphanol,Loperamide
Cabazitaxel,Docetaxel
Cabazitaxel,Vindesine
Caffeine,Pentoxifylline
Candesartan,Tasosartan
Carbamazepine,Ethotoin
Carbamazepine,Mephenytoin
Carbamazepine,Phenytoin
Carbinoxamine,Cyclizine
Carbinoxamine,Dimetindene
Carbinoxamine,Diphenhydramine
Carbinoxamine,Doxylamine
Carbinoxamine,Ketotifen
Carbinoxamine,Tesmilifene
Carprofen,Cholinemagnesiumtrisalicylate
Carprofen,Etoricoxib
Carprofen,Nimesulide
Carprofen,Parecoxib
Cefaclor,Cefditoren
Cefadroxil,Cefditoren
Cefditoren,Cefradine
Cefditoren,Ceftriaxone
Cefditoren,Phenoxymethylpenicillin
Cefditoren,Pivampicillin
Cefotetan,Ceftolozane
Ceftolozane,Doripenem
Ceritinib,Crizotinib
Cetirizine,Cyclizine
Cetirizine,Dimetindene
Cetirizine,Diphenhydramine
Cetirizine,Doxylamine
Cetirizine,Ketotifen
Cetirizine,Tesmilifene
Cevimeline,Cycrimine
Cevimeline,Dexpanthenol
Cevimeline,Dicyclomine
Cevimeline,Hexocyclium
Cevimeline,Methacholine
Cevimeline,Oxyphenonium
Cevimeline,Procyclidine
Cevimeline,Propantheline
Chlordiazepoxide,Clorazepate
Chlordiazepoxide,Lorazepam
Chlormezanone,Clorazepate
Chlormezanone,Lorazepam
Chloropyramine,Cyclizine
Chloropyramine,Dimetindene
Chloropyramine,Diphenhydramine
Chloropyramine,Doxylamine
Chloropyramine,Ketotifen
Chloropyramine,Tesmilifene
Chlorphenamine,Desvenlafaxine
Chlorphenamine,Diethylpropion
Chlorphenamine,Levomilnacipran
Chlorphenamine,Phenmetrazine
Chlorphenamine,Protriptyline
Chlorphenamine,Sertraline
Chlorphenamine,Sibutramine
Chlorphenamine,Venlafaxine
Chlorpropamide,Gliquidone
Chlorpropamide,Mitiglinide
Chlorpropamide,Repaglinide
Chlorpropamide,Tolbutamide
Chlorprothixene,Cyproheptadine
Cholinemagnesiumtrisalicylate,Diethylcarbamazine
Cholinemagnesiumtrisalicylate,Diflunisal
Cholinemagnesiumtrisalicylate,Flurbiprofen
Cholinemagnesiumtrisalicylate,Ketorolac
Cholinemagnesiumtrisalicylate,Lornoxicam
Cholinemagnesiumtrisalicylate,Lumiracoxib
Cholinemagnesiumtrisalicylate,Magnesiumsalicylate
Cholinemagnesiumtrisalicylate,Meloxicam
Cholinemagnesiumtrisalicylate,Minoxidil
Cholinemagnesiumtrisalicylate,Nabumetone
Cholinemagnesiumtrisalicylate,Naproxen
Cholinemagnesiumtrisalicylate,Oxaprozin
Cholinemagnesiumtrisalicylate,Tiaprofenicacid
Ciclesonide,Megestrolacetate
Ciclesonide,Mifepristone
Cidofovir,Penciclovir
Cidofovir,Valaciclovir
Cilomilast,Papaverine
Clobetasone,Megestrolacetate
Clobetasone,Mifepristone
Clocortolone,Megestrolacetate
Clocortolone,Mifepristone
Clorazepate,Ethchlorvynol
Clotrimazole,Econazole
Colchicine,Docetaxel
Colchicine,Vindesine
Colchicine,Vinorelbine
Conjugatedestrogens,Estriol
Conjugatedestrogens,Ethynodioldiacetate
Conjugatedestrogens,Raloxifene
Crofelemer,Ivacaftor
Crofelemer,Lumacaftor
Cyclizine,Dimenhydrinate
Cyclizine,Emedastine
Cyclizine,Fexofenadine
Cyclizine,Levocetirizine
Cyclizine,Loratadine
Cyclizine,Pheniramine
Cyclobenzaprine,Deramciclane
Cyclobenzaprine,Donepezil
Cyclobenzaprine,Mesoridazine
Cycrimine,Doxylamine
Cycrimine,Flavoxate
Cyproheptadine,Oxyphencyclimine
Cyproheptadine,Tiotropium
Cyproheptadine,Tridihexethyl
Dapiprazole,Phentolamine
Darunavir,Ritonavir
Debrisoquin,Desvenlafaxine
Debrisoquin,Diethylpropion
Debrisoquin,Levomilnacipran
Debrisoquin,Phenmetrazine
Debrisoquin,Protriptyline
Debrisoquin,Venlafaxine
Delafloxacin,Gatifloxacin
Demecarium,Neostigmine
Demecarium,Phenserine
Demecarium,Physostigmine
Deramciclane,Pimavanserin
Deramciclane,Ritanserin
Deserpidine,Isometheptene
Deserpidine,Tetrabenazine
Desonide,Megestrolacetate
Desonide,Mifepristone
Desoximetasone,Megestrolacetate
Desoximetasone,Mifepristone
Desvenlafaxine,Fluvoxamine
Desvenlafaxine,Reboxetine
Desvenlafaxine,Viloxazine
Dexfenfluramine,Fluvoxamine
Dexlansoprazole,Esomeprazole
Dexlansoprazole,Lansoprazole
Dexlansoprazole,Pantoprazole
Dexlansoprazole,Rabeprazole
Dexpanthenol,Isopropamide
Dexrazoxane,Genistein
Dextropropoxyphene,Ethylmorphine
Dextropropoxyphene,Levallorphan
Dextropropoxyphene,MethadylAcetate
Dextropropoxyphene,Naltrexone
Dezocine,Ethylmorphine
Dezocine,Levallorphan
Dezocine,MethadylAcetate
Dezocine,Naltrexone
Dicyclomine,Doxylamine
Dicyclomine,Flavoxate
Dienogest,Esculin
Dienogest,Hydroxyprogesteronecaproate
Dienogest,Methyltestosterone
Dienogest,Nandrolonedecanoate
Dienogest,Nandrolonephenpropionate
Dienogest,Nilutamide
Dienogest,Norelgestromin
Diethylcarbamazine,Zileuton
Diethylpropion,Fencamfamine
Diethylpropion,Reboxetine
Diethylpropion,Viloxazine
Diethylstilbestrol,Estriol
Diethylstilbestrol,Raloxifene
Diflunisal,Etoricoxib
Diflunisal,Nimesulide
Diflunisal,Parecoxib
Difluprednate,Megestrolacetate
Difluprednate,Mifepristone
Dimenhydrinate,Dimetindene
Dimenhydrinate,Diphenhydramine
Dimenhydrinate,Doxylamine
Dimenhydrinate,Ketotifen
Dimenhydrinate,Tesmilifene
Dimethylthiambutene,Ethylmorphine
Dimethylthiambutene,Levallorphan
Dimethylthiambutene,MethadylAcetate
Dimethylthiambutene,Naltrexone
Dimetindene,Emedastine
Dimetindene,Fexofenadine
Dimetindene,Levocetirizine
Dimetindene,Loratadine
Dimetindene,Pheniramine
Diosmin,Omeprazole
Diphenhydramine,Emedastine
Diphenhydramine,Fexofenadine
Diphenhydramine,Levocetirizine
Diphenhydramine,Loratadine
Diphenhydramine,Pheniramine
Diphenoxylate,Ethylmorphine
Diphenoxylate,Levallorphan
Diphenoxylate,MethadylAcetate
Diphenoxylate,Naltrexone
Dipivefrin,Naphazoline
Donepezil,Neostigmine
Donepezil,Phenserine
Donepezil,Physostigmine
Donepezil,Pimavanserin
Donepezil,Ritanserin
Doxacuriumchloride,Vecuronium
Doxazosin,Tamsulosin
Doxylamine,Emedastine
Doxylamine,Fexofenadine
Doxylamine,Levocetirizine
Doxylamine,Loratadine
Doxylamine,Oxyphenonium
Doxylamine,Pheniramine
Doxylamine,Propantheline
Dronabinol,Nabilone
Droperidol,Indoramin
Droperidol,Prochlorperazine
Droperidol,Raclopride
Droperidol,Tetryzoline
Duloxetine,Escitalopram
Econazole,Efinaconazole
Econazole,Erlotinib
Econazole,Fluconazole
Econazole,Itraconazole
Econazole,Posaconazole
Econazole,Terconazole
Econazole,Tioconazole
Econazole,Voriconazole
Edoxaban,Fondaparinuxsodium
Edrophonium,Neostigmine
Edrophonium,Phenserine
Edrophonium,Physostigmine
Efavirenz,Rilpivirine
Emedastine,Ketotifen
Emedastine,Tesmilifene
Emtricitabine,Rilpivirine
Encainide,Ethotoin
Encainide,Mephenytoin
Encainide,Phenytoin
Eprosartan,Tasosartan
Erlotinib,Ethotoin
Erlotinib,Mephenytoin
Erlotinib,Rifaximin
Erlotinib,Rilpivirine
Erlotinib,Ritonavir
Esculin,Homosalate
Esculin,Oxybenzone
Esmolol,Levobunolol
Esmolol,Nebivolol
Esmolol,Oxprenolol
Esmolol,Salbutamol
Esomeprazole,Omeprazole
Estriol,Eugenol
Estriol,Fulvestrant
Estriol,"SyntheticConjugatedEstrogens,A"
Estriol,"SyntheticConjugatedEstrogens,B"
Estriol,Tibolone
Estriol,Toremifene
Ethchlorvynol,Lorazepam
Ethopropazine,Phencyclidine
Ethotoin,Prilocaine
Ethylmorphine,Methylnaltrexone
Ethylmorphine,Oxymorphone
Ethynodioldiacetate,Eugenol
Ethynodioldiacetate,Fulvestrant
Ethynodioldiacetate,Hydroxyprogesteronecaproate
Ethynodioldiacetate,Norelgestromin
Ethynodioldiacetate,"SyntheticConjugatedEstrogens,A"
Ethynodioldiacetate,"SyntheticConjugatedEstrogens,B"
Ethynodioldiacetate,Tibolone
Ethynodioldiacetate,Toremifene
Etoricoxib,Flurbiprofen
Etoricoxib,Ketorolac
Etoricoxib,Lornoxicam
Etoricoxib,Lumiracoxib
Etoricoxib,Magnesiumsalicylate
Etoricoxib,Meloxicam
Etoricoxib,Nabumetone
Etoricoxib,Naproxen
Etoricoxib,Oxaprozin
Etoricoxib,Rofecoxib
Etoricoxib,Tiaprofenicacid
Eugenol,Raloxifene
Everolimus,Pimecrolimus
Famciclovir,Penciclovir
Famciclovir,Valaciclovir
Felbamate,Phencyclidine
Fencamfamine,Lisdexamfetamine
Fencamfamine,Modafinil
Fencamfamine,Phenmetrazine
Fencamfamine,Sertraline
Fencamfamine,Sibutramine
Fentanyl,Loperamide
Fexofenadine,Ketotifen
Fexofenadine,Tesmilifene
Flavoxate,Hexocyclium
Flavoxate,Oxyphenonium
Flavoxate,Procyclidine
Flavoxate,Propantheline
Flibanserin,Perospirone
Flurbiprofen,Nimesulide
Flurbiprofen,Parecoxib
Fluticasonefuroate,Megestrolacetate
Fluticasonefuroate,Mifepristone
Fluticasonepropionate,Megestrolacetate
Fluticasonepropionate,Mifepristone
Fluvoxamine,Levomilnacipran
Fluvoxamine,Protriptyline
Fluvoxamine,Sertraline
Fluvoxamine,Sibutramine
Fluvoxamine,Venlafaxine
Fondaparinuxsodium,Rivaroxaban
Fosamprenavir,Ritonavir
Fospropofol,Piperazine
Frovatriptan,Naratriptan
Frovatriptan,Sumatriptan
Fulvestrant,Raloxifene
Gatifloxacin,Gemifloxacin
Gatifloxacin,Grepafloxacin
Gatifloxacin,Rosoxacin
Gatifloxacin,Temafloxacin
Gemfibrozil,GW-501516
Genistein,Teniposide
Guanfacine,Lofexidine
Guanfacine,Tizanidine
GW-501516,Soybeanoil
Heroin,Loperamide
Hexocyclium,Isopropamide
Hexocyclium,Paroxetine
Homosalate,Hydroxyprogesteronecaproate
Homosalate,Methyltestosterone
Homosalate,Nandrolonedecanoate
Homosalate,Nandrolonephenpropionate
Homosalate,Nilutamide
Homosalate,Norelgestromin
Hydroxyprogesteronecaproate,Megestrolacetate
Hydroxyprogesteronecaproate,Mifepristone
Hydroxyprogesteronecaproate,Oxybenzone
Icotinib,Lapatinib
Indacaterol,Levobunolol
Indacaterol,Nebivolol
Indacaterol,Oxprenolol
