Brexpiprazole,Lurasidone
Dosulepin,Maprotiline
Bromazepam,Triazolam
Flurazepam,Triazolam
Pramipexole,Yohimbine
Ropinirole,Yohimbine
Desipramine,Maprotiline
Bromocriptine,Quetiapine
Bromocriptine,Ziprasidone
Adinazolam,Triazolam
Clotiazepam,Triazolam
Estazolam,Triazolam
Prazepam,Triazolam
Clozapine,Methotrimeprazine
3-Methylfentanyl,Dextropropoxyphene
3-Methylfentanyl,Dezocine
3-Methylfentanyl,Dimethylthiambutene
3-Methylfentanyl,Diphenoxylate
3-Methylfentanyl,Methylnaltrexone
3-Methylfentanyl,Oxymorphone
Acebutolol,Arbutamine
Acebutolol,Phenylpropanolamine
Acebutolol,Salmeterol
Acebutolol,Sotalol
Acebutolol,Terbutaline
Aceclofenac,Etodolac
Aceclofenac,Phenylbutazone
Acetophenazine,Carphenazine
Acetophenazine,Fluphenazine
Acetophenazine,Haloperidol
Acetophenazine,Perphenazine
Acetophenazine,Thiethylperazine
Acetophenazine,Thiothixene
Adapalene,Tazarotene
Agomelatine,Tasimelteon
Aleglitazar,Omega-3fattyacids
Almotriptan,Rizatriptan
Alvimopan,Dextropropoxyphene
Alvimopan,Dezocine
Alvimopan,Dimethylthiambutene
Alvimopan,Diphenoxylate
Alvimopan,Methylnaltrexone
Alvimopan,Oxymorphone
Amdinocillin,Cefadroxil
Amdinocillin,Piperacillin
Antipyrine,Etodolac
Antipyrine,Phenylbutazone
Antrafenine,Etodolac
Antrafenine,Phenylbutazone
Arbutamine,Betaxolol
Arbutamine,Levobunolol
Arbutamine,Nebivolol
Arbutamine,Oxprenolol
Arbutamine,Salbutamol
Atomoxetine,Duloxetine
Atomoxetine,Milnacipran
Atropine,Hexocyclium
Atropine,Procyclidine
Balsalazide,Mesalazine
Benzatropine,Doxylamine
Betaxolol,Phenylpropanolamine
Betaxolol,Salmeterol
Betaxolol,Sotalol
Betaxolol,Terbutaline
Brimonidine,Guanfacine
Bromfenac,Etodolac
Bromfenac,Phenylbutazone
Bupropion,Diethylpropion
Bupropion,Phenmetrazine
Butorphanol,Dextropropoxyphene
Butorphanol,Dezocine
Butorphanol,Dimethylthiambutene
Butorphanol,Diphenoxylate
Butorphanol,Methylnaltrexone
Butorphanol,Oxymorphone
Carphenazine,Tetrahydropalmatine
Carprofen,Etodolac
Carprofen,Phenylbutazone
Cevimeline,Oxyphencyclimine
Cevimeline,Tiotropium
Cevimeline,Tridihexethyl
Chlorphenamine,Escitalopram
Ciprofloxacin,Delafloxacin
Ciprofloxacin,Gemifloxacin
Ciprofloxacin,Grepafloxacin
Ciprofloxacin,Temafloxacin
Dapiprazole,Tamsulosin
Delafloxacin,Enoxacin
Delafloxacin,Levofloxacin
Delafloxacin,Lomefloxacin
Delafloxacin,Moxifloxacin
Delafloxacin,Norfloxacin
Delafloxacin,Ofloxacin
Delafloxacin,Pefloxacin
Deramciclane,Tegaserod
Desvenlafaxine,Duloxetine
Desvenlafaxine,Milnacipran
Dexfenfluramine,Fluoxetine
Dextropropoxyphene,Fentanyl
Dextropropoxyphene,Heroin
Dextropropoxyphene,Remifentanil
Dextropropoxyphene,Sufentanil
Dezocine,Fentanyl
Dezocine,Heroin
Dezocine,Pentazocine
Dezocine,Remifentanil
Dezocine,Sufentanil
Dezocine,Tapentadol
Diethylpropion,Duloxetine
Diflunisal,Etodolac
Diflunisal,Phenylbutazone
Dimethylthiambutene,Fentanyl
Dimethylthiambutene,Heroin
Dimethylthiambutene,Remifentanil
Dimethylthiambutene,Sufentanil
Diphenoxylate,Fentanyl
Diphenoxylate,Heroin
Diphenoxylate,Remifentanil
Diphenoxylate,Sufentanil
Dosulepin,Paroxetine
Doxacuriumchloride,GallamineTriethiodide
Doxacuriumchloride,Rocuronium
Duloxetine,Levomilnacipran
Duloxetine,Phenmetrazine
Duloxetine,Protriptyline
Duloxetine,Sertraline
Duloxetine,Sibutramine
