Droxidopa,Epinephrine
Pergolide,Pramipexole
Pergolide,Ropinirole
Butalbital,Secobarbital
Butalbital,Thiopental
Secobarbital,Talbutal
Secobarbital,Thiopental
Talbutal,Thiopental
Aclidinium,Atropine
Amdinocillin,Cephalexin
Amdinocillin,Dicloxacillin
Amdinocillin,Oxacillin
Atropine,Darifenacin
Atropine,Tolterodine
Atropine,Trihexyphenidyl
Atropine,Umeclidinium
Adinazolam,Bromazepam
Adinazolam,Diazepam
Adinazolam,Flurazepam
Bromazepam,Clotiazepam
Clotiazepam,Diazepam
Clotiazepam,Flurazepam
Diazepam,Estazolam
Diazepam,Prazepam
Diazepam,Quazepam
Diazepam,Triazolam
Temazepam,Triazolam
Bromazepam,Nitrazepam
Diazepam,Nitrazepam
Flurazepam,Nitrazepam
Butalbital,Pentobarbital
Pentobarbital,Secobarbital
Pentobarbital,Talbutal
Midazolam,Oxazepam
Diazepam,Oxazepam
Oxazepam,Temazepam
Lisuride,Pramipexole
Lisuride,Ropinirole
Adinazolam,Cinolazepam
Cinolazepam,Clotiazepam
Dexibuprofen,Ibuprofen
Adinazolam,Estazolam
Adinazolam,Prazepam
Adinazolam,Quazepam
Clotiazepam,Estazolam
Clotiazepam,Prazepam
Clotiazepam,Quazepam
Estazolam,Prazepam
Estazolam,Quazepam
Prazepam,Quazepam
Quetiapine,Ziprasidone
Bromocriptine,Pergolide
Adinazolam,Nitrazepam
Clotiazepam,Nitrazepam
Bromazepam,Midazolam
Flurazepam,Midazolam
Diazepam,Temazepam
