"3,4-Methylenedioxymethamphetamine",Sodium-dependentserotonintransporter,Negativemodulator
"3,4-Methylenedioxymethamphetamine",Synapticvesicularaminetransporter,Inhibitor
"3,4-Methylenedioxymethamphetamine",Sodium-dependentdopaminetransporter,Negativemodulator
"3,4-Methylenedioxymethamphetamine",5-hydroxytryptaminereceptor2A,Agonist
"3,4-Methylenedioxymethamphetamine",5-hydroxytryptaminereceptor2B,Agonist
"3,4-Methylenedioxymethamphetamine",5-hydroxytryptaminereceptor2C,Agonist
"3,4-Methylenedioxymethamphetamine",Sodium-dependentnoradrenalinetransporter,Negativemodulator
3-Methylfentanyl,Mu-typeopioidreceptor,Agonist
3-Methylfentanyl,Delta-typeopioidreceptor,Agonist
3-Methylfentanyl,Kappa-typeopioidreceptor,Agonist
4-Methoxyamphetamine,Sodium-dependentdopaminetransporter,Inhibitor
4-Methoxyamphetamine,Sodium-dependentserotonintransporter,Inhibitor
4-Methoxyamphetamine,Synapticvesicularaminetransporter,Inhibitor
4-Methoxyamphetamine,Alpha-1Aadrenergicreceptor,Agonist
4-Methoxyamphetamine,Alpha-2Aadrenergicreceptor,Agonist
4-Methoxyamphetamine,Amineoxidase[flavin-containing]A,Inhibitor
4-Methoxyamphetamine,Amineoxidase[flavin-containing]B,Inhibitor
Abacavir,Reversetranscriptase/RNaseH,Inhibitor
Abarelix,Gonadotropin-releasinghormonereceptor,Antagonist
Abatacept,T-lymphocyteactivationantigenCD80,Antagonist
Abatacept,T-lymphocyteactivationantigenCD86,Antagonist
Abiraterone,"Steroid17-alpha-hydroxylase/17,20lyase",Inhibitor
Acamprosate,GABA-Areceptor(anionchannel)(ProteinGroup),Positivemodulator
Acamprosate,Glutamate(NMDA)receptor(ProteinGroup),Antagonist
Acamprosate,Metabotropicglutamatereceptor5,Antagonist
Acarbose,"Maltase-glucoamylase,intestinal",Inhibitor
Acarbose,Lysosomalalpha-glucosidase,Inhibitor
Acarbose,"Sucrase-isomaltase,intestinal",Inhibitor
Acarbose,Pancreaticalpha-amylase,Inhibitor
Acebutolol,Beta-1adrenergicreceptor,Partialagonist
Acebutolol,Beta-2adrenergicreceptor,Partialagonist
Aceclofenac,ProstaglandinG/Hsynthase2,Inhibitor
